text,label
so happy its friday...not so happy about this rain,2
"Upshot: If they want to hunt you down... uhh... well, I wish y`all the best of luck, tweeps!",1
happy maders day,2
"Helps me stop touching my phone It helps me stop touching my phone. However, there is not much thrill in planting the tree. You cannot select where the tree is going to grow, and eventhough there are number of other trees, it cost so much and earn so little from planting it makes it so boring. It can get quite dissapointing",1
_Yours13 I`m not at home with my cats right now!,1
r u still there? ? I guess not    i want to talk to you,1
just spent an hour trying to get the newborn bird in my front garden to fly. poor baby  no success!,0
HAPPY MOTHERS DAY TO ALL THE MOMS OUT THERE !!!,2
man i **** up that test  playing cod now . 31 days till the summer !,0
thinks that the limit of 140 letters is really not fair. 300 + would be better,0
Rain rain go away,0
 but...he`s..mine  you told me a couple of weeks ago that you didn`t find any other guys hot apart from the ones you...,0
How do I put on homescreen?,2
The app is good but it automatically exits after a while and just doesn't open after.I have to uninstall and reinstall again and again. It gets tiring after a while.,0
http://www.speedtest.net/result/483892161.png i get good download speed only when no one else is using the connection,2
Great find   http://amanita-design.net/samorost-1/,0
" so I wanted to DM you back but I couldn`t cuz your not following me  but thankss anyways, maybe ill see ya around in ELLE-AY  ...",2
Intuitive and fun,2
Not happy got a big choice to make,0
traveling to L.a today to see grandpa in hospital..Yet another road block to cross fro my family,0
"Energy steadily increasing, thankfully, but the cough isn`t going away.",1
 That`s good to hear - morning,2
Bubbletweet hates me,0
 that is yo name girllll!,1
"Morning all, finally got to stream media from PC to PS3 via wireless router, much easier than using a USB dongle, ah, techy simplicity.",2
Sadly I am bprohibiting myself from tweeting tonight. Sorry,0
 hahaha we just won`t tell him will we?,1
 blah blah blah.... just kidding dude  i`ve never had anyone offer up their stem cells before haha!,2
Terrible! I am missing Wunderlist. After importing our tasks everything got mixed and doubled. Shared people and list.owners mixed/double. Blame on your engineering and programming. İ will miss my lovely Wunderlist,0
talking to my BABE  he`s amazing,2
Not allowing me to delete my account,0
in the mailbox already for 2 hours,1
 good luck!! How exciting,2
Dad just gave me his old BlackBerry. Not that old... But it doesn`t even have a scroll ball. I want that Bold.,0
"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure",2
8 month old African grey parrot  sad sale - Reptile Forums UK http://bit.ly/grrdA,0
_ENVY how come you dont think you did good?!,1
"uploading photos.   (on: Facebook, & Friendster... Myspace later.)",1
"10pm tonight, International Space Station will by over head, through most of Texas at least",1
" we`ll be back sunday to play @ the horse, I was out last night at mex you were not  miss you",0
Great app but it never archived old chores so didne let points,1
was really great but lately it has been killing my trees even though I'm not touching my phone at all. It's kind of discouraging to come back after two hours of work and see that you now only have dead trees in your forest...,1
"i got a haircut, i felt like that guy on the 'Last Samuri' who was forced to have his ponytail cut off.",0
My phone works! Its whack. Well good morning. Gonna go eat breakfast with neil before school starts,2
wow the last hour of twittering that I`ve been doing has yet to be sent over to twitter..  guys bare w me...,0
 I am so sorry.,0
good weekend,2
"Very sad story of being Wunderlist ancestor. Missing Drag and Drop Missing UX at all Missing ease of using Creating of new task requires your full attention for several painful seconds. App that was meant to make your life easy is now just some list that force me to write my tasks on paper again after few years of using Wunderlist, because paper has much better UX than this one.",0
 I WISH I could be in bed by nine once in a while. I never make it in before 3-4 a.m.  #sleepdeprived. Doing too much.,1
 Oh noes!! Melted ice cream = do not want.,0
 sorryyy milerz that i can`t vote i would love to vote but it doesn`t works i`m sad  and very frustraded  :@ :@ --__--,0
 ooohhhhh - sorry  So sad - never noticed the dollar signs! #oxteach,0
I`m not ditchin i`m barfin so sorry guys  ESOTSM;,0
It`s official - Liberty Grand is my new fave reception venue... Will blog some shots Tuesday,1
it makes me want to cry when 2 grown men discuss characters on All My Children.,0
 <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,2
It was my fault for leaving my flip-flops outside my locker while swimming at USF Koret but why oh why would you want to take `em? #R2IMT,0
"I need help, the tree does not die if I leave the app. Maybe because I have a Razer phone 2?",1
Wants To Dress Up,1
